"","case_number","cmte_id","cmte_name","report_type","report_year","fine_amount","office","state","district","cand_name","late_filed_not_filed","paid_yes_no","line_image","end_line_image","timestamp"
"1",1,"C00351312","ROD MARTIN FOR CONGRESS INC","Q2",2000,775,"H","AR",2,"MARTIN, ROD D","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501116+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501159+0","26-AUG-18"
"2",2,"C00345710","MIKE ROSS FOR CONGRESS COMMITTEE","Q2",2000,3200,"H","AR",4,"ROSS, MICHAEL AVERY","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500082+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500128+0","26-AUG-18"
"3",3,"C00261370","RICHARD POMBO FOR CONGRESS","Q2",2000,2800,"H","CA",19,"POMBO, RICHARD W","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500129+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500143+0","26-AUG-18"
"4",5,"C00332890","MARY BONO COMMITTEE","Q2",2000,2725,"H","CA",36,"BONO MACK, MARY","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500144+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500156+0","26-AUG-18"
"5",6,"C00224691","ROHRABACHER FOR CONGRESS","Q2",2000,500,"H","CA",48,"ROHRABACHER, DANA","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500157+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500169+0","26-AUG-18"
"6",7,"C00349290","TROTTER 2000 FOR CONGRESS","Q2",2000,350,"H","IL",2,"TROTTER, DONNE E","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501160+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501188+0","26-AUG-18"
"7",8,"C00347336","HAMILTON FOR CONGRESS","Q2",2000,7000,"H","IN",8,"HAMILTON, JOHN MARK","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501486+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501536+0","26-AUG-18"
"8",9,"C00337089","MIKE SERABIAN FOR CONGRESS","Q2",2000,350,"H","MD",1,"SERABIAN, MICHAEL JOSEPH SR","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500170+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500182+0","26-AUG-18"
"9",10,"C00253377","WYNN FOR CONGRESS","Q2",2000,5025,"H","MD",4,"WYNN, ALBERT R","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092510566+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500639+0","26-AUG-18"
"10",12,"C00332445","MILES FOR SENATE","Q2",2000,2700,"S","MN",0,"MILES, STEVEN HAVERSTOCK","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500643+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500695+0","26-AUG-18"
"11",14,"C00357970","COMMITTEE TO ELECT TONY FUSCO TO CONGRESS","Q2",2000,2025,"H","NJ",8,"FUSCO, ANTHONY J JR","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502101+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502134+0","26-AUG-18"
"12",16,"C00355768","JOHN FEE FOR CONGRESS","Q2",2000,1475,"H","NY",30,"FEE, JOHN","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501189+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501232+0","26-AUG-18"
"13",18,"C00347823","RICHARD CORDRAY FOR US SENATE COMMITTEE","Q2",2000,725,"S","OH",0,"CORDRAY, RICHARD","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500696+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500745+0","26-AUG-18"
"14",19,"C00354746","TROUTT FOR CONGRESS","Q2",2000,425,"H","OK",2,"TROUTT, ERIC DEAN","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502135+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092502166+0","26-AUG-18"
"15",20,"C00349944","PEOPLE FOR ROYAL HART","Q2",2000,725,"H","PA",4,"HART, ROYAL DEAN","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501233+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501275+0","26-AUG-18"
"16",21,"C00353003","JOHN COFFEY FOR CONGRESS","Q2",2000,500,"H","PA",13,"COFFEY, JOHN","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500183+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500194+0","26-AUG-18"
"17",22,"C00347468","NOBLE WILLINGHAM FOR CONGRESS","Q2",2000,1200,"H","TX",1,"WILLINGHAM, NOBLE","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500195+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500207+0","26-AUG-18"
"18",23,"C00198309","DICK ARMEY CAMPAIGN COMMITTEE","Q2",2000,2700,"H","TX",26,"ARMEY, RICHARD K","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500208+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500220+0","26-AUG-18"
"19",25,"C00350405","KILIAN FOR CONGRESS COMMITTEE","Q2",2000,1800,"H","CA",10,"KILIAN, DENNIS M","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501895+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501923+0","26-AUG-18"
"20",26,"C00336123","BLAKE FOR CONGRESS COMMITTEE","Q2",2000,900,"H","CA",10,"BLAKE, GORDON THOMAS","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501276+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501316+0","26-AUG-18"
"21",27,"C00167437","MATTHEW MARTINEZ CONGRESSIONAL COMMITTEE","Q2",2000,900,"H","CA",31,"MARTINEZ, MATTHEW GILBERT JR","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500221+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500234+0","26-AUG-18"
"22",28,"C00264028","LINCOLN DIAZ-BALART FOR CONGRESS","Q2",2000,3500,"H","FL",21,"DIAZ-BALART, LINCOLN","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500951+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500980+0","26-AUG-18"
"23",29,"C00349688","MESSER FOR CONGRESS","Q2",2000,2700,"H","IN",6,"MESSER, ALLEN LUCAS","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501317+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501383+0","26-AUG-18"
"24",31,"C00349860","CITIZENS FOR DWIGHT E BRYAN","Q2",2000,1800,"H","OH",9,"BRYAN, DWIGHT E","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500235+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500282+0","26-AUG-18"
"25",32,"C00349084","RONALD RICHARD DICKSON FOR US SENATOR","Q2",2000,0,"S","OH",0,"DICKSON, RONALD RICHARD","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500981+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092501023+0","26-AUG-18"
"26",33,"C00351320","COMMITTEE TO ELECT JIM SCHMITT","Q2",2000,330,"H","PA",4,"SCHMITT, JAMES P","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500283+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500333+0","26-AUG-18"
"27",34,"C00312512","PEOPLE FOR CHARLIE GEROW","Q2",2000,900,"H","PA",19,"GEROW, CHARLIE","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500746+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500775+0","26-AUG-18"
"28",35,"C00346155","BOB ROVNER FOR US SENATE--2000","Q2",2000,900,"S","PA",0,"ROVNER, BOB","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500334+0","http://docquery.fec.gov/cgi-bin/fecimg/?_21092500442+0","26-AUG-18"
