"","Link_Image","Committee_Name","Committee_Id","Date_Filed","Is_Lobbyist"
"1","http://docquery.fec.gov/cgi-bin/fecimg/?_201808249121519913+0","AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E","C00011114","24-AUG-18","Y"
"2","http://docquery.fec.gov/cgi-bin/fecimg/?_201808249121517018+0","ASH GROVE CEMENT POLITICAL ACTION COMMITTEE","C00102517","24-AUG-18","Y"
"3","http://docquery.fec.gov/cgi-bin/fecimg/?_201808249121517771+0","DRINKER BIDDLE POLITICAL ACTION COMMITTEE","C00370759","24-AUG-18","Y"
"4","http://docquery.fec.gov/cgi-bin/fecimg/?_201808249121517133+0","NATIONAL ASSOCIATION OF LANDSCAPE PROFESSIONALS INC. PAC","C00420000","24-AUG-18","Y"
"5","http://docquery.fec.gov/cgi-bin/fecimg/?_201808239121515499+0","JACKSON HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY FEDERAL SSF (JACKSON NATIONAL FEDERAL PAC)","C00686055","23-AUG-18","Y"
"6","http://docquery.fec.gov/cgi-bin/fecimg/?_201808239121514673+0","NETJETS INC. PAC","C00481309","23-AUG-18","Y"
"7","http://docquery.fec.gov/cgi-bin/fecimg/?_201808239121512573+0","SANOFI US SERVICES INC. EMPLOYEES' POLITICAL ACTION COMMITTEE","C00144345","23-AUG-18","Y"
"8","http://docquery.fec.gov/cgi-bin/fecimg/?_201808229121508839+0","CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE","C00426775","22-AUG-18","Y"
"9","http://docquery.fec.gov/cgi-bin/fecimg/?_201808229121509145+0","PAR PACIFIC HOLDINGS INC PAC","C00637322","22-AUG-18","Y"
"10","http://docquery.fec.gov/cgi-bin/fecimg/?_201808219121507451+0","CROPLIFE AMERICA POLITICAL ACTION COMMITTEE","C00248849","21-AUG-18","Y"
"11","http://docquery.fec.gov/cgi-bin/fecimg/?_201808219121506061+0","LINCOLN NATIONAL CORPORATION POLITICAL ACTION COMMITTEE (AKA LINCOLN FINANCIAL GROUP POLITICAL ACTION COMMITTEE, LFGPAC)","C00110577","21-AUG-18","Y"
