"","Committee_Id","Committee_Name","Link_Image","Committee_Election_State","Committee_Election_District","Report_Type","Receipt_Date","Coverage_Start_Date","Coverage_End_Date","Quarterly_Contribution","Semi_Annual_Contribution"
"1","C00516047","ANGUS KING FOR US SENATE CAMPAIGN","http://docquery.fec.gov/cgi-bin/fecimg/?_201808220200713586+0","ME",0,"JULY QUARTERLY","18-AUG-18","01-APR-18","30-JUN-18",21911,44156
"2","C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201808130200675405+0","WI",0,"PRE-PRIMARY","13-AUG-18","01-JUL-18","25-JUL-18",0,0
"3","C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201808109119388947+0","",NA,"AUGUST MONTHLY","10-AUG-18","01-JUL-18","31-JUL-18",20000,0
"4","C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201807199115782555+0","",NA,"QUARTERLY MID-YEAR / SEMI-ANN","19-JUL-18","01-JUN-18","30-JUN-18",199542.5,1521817.5
"5","C00474189","MIKE KELLY FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201807159115535798+0","PA",16,"JULY QUARTERLY / SEMI-ANNUAL","15-JUL-18","01-JAN-18","30-JUN-18",19833.29,19833.29
"6","C00501197","BETO FOR TEXAS","http://docquery.fec.gov/cgi-bin/fecimg/?_201807230200660221+0","TX",10,"JULY QUARTERLY","14-JUL-18","01-APR-18","30-JUN-18",34064,74102
"7","C00501197","BETO FOR TEXAS","http://docquery.fec.gov/cgi-bin/fecimg/?_201807230200660226+0","TX",0,"APRIL QUARTERLY","14-JUL-18","15-FEB-18","31-MAR-18",38681,0
"8","C00431056","BOB CASEY FOR SENATE INC","http://docquery.fec.gov/cgi-bin/fecimg/?_201807230200660231+0","PA",0,"JULY QUARTERLY","14-JUL-18","26-APR-18","30-JUN-18",0,21327
"9","C00606939","ROSEN FOR NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?_201807230200660236+0","NV",0,"JULY QUARTERLY","14-JUL-18","24-MAY-18","30-JUN-18",0,106409
"10","C00333427","WALDEN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201807139115408396+0","OR",2,"JULY QUARTERLY / SEMI-ANNUAL","13-JUL-18","26-APR-18","30-JUN-18",500,27687
