"","FILER_ID","FILER_NAME","FILER_.ADDRESS","FILER_.CITY","FILER_.STATE","FILER_.ZIP","AMENDMENT_IND","BEG_CVG_DT","END_CVG_DT","PUBLIC_DISTRIBUTION_DT","TOTAL_DONATIONS_THIS_STMT","TOTAL_DISBURSEMENTS_THIS_STMT","BEGIN_IMAGE_NUM","END_IMAGE_NUM","RECEIPT_DT"
"1","C30001366","NATIONAL ASSOCIATION OF HOME BUILDERS","1201 15TH STREET NW","WASHINGTON","DC",20005,"N","15-AUG-18","28-AUG-18","15-AUG-18",NA,69720,201808160300227264,201808160300227264,"16-AUG-18                                                                                                                              "
"2","C30002802","MAJORITY FORWARD","700 13TH STREET NW SUITE 600","WASHINGTON","DC",20005,"N","11-AUG-18","12-AUG-18","11-AUG-18",0,1304377,201808129119600832,201808129119600832,"12-AUG-18                                                                                                                                       "
"3","C30002828","FUSE WASHINGTON","1402 THIRD AVENUE","SEATTLE","WA",98101,"N","10-AUG-18","10-AUG-18","10-AUG-18",0,315,201808139119602208,201808139119602208,"11-AUG-18                                                                                                                                                          "
"4","C30002828","FUSE WASHINGTON","1402 THIRD AVENUE","SEATTLE","WA",98101,"N","09-AUG-18","09-AUG-18","09-AUG-18",0,619,201808139119602048,201808139119602048,"10-AUG-18                                                                                                                                                          "
"5","C30002828","FUSE WASHINGTON","1402 THIRD AVENUE","SEATTLE","WA",98101,"N","08-AUG-18","08-AUG-18","08-AUG-18",0,496,201808109119386976,201808109119386976,"09-AUG-18                                                                                                                                                          "
"6","C30002760","GREAT AMERICA ALLIANCE","441 N LEE STREET","ALEXANDRIA","VA",22314,"N","06-AUG-18","14-AUG-18","06-AUG-18",0,65430,201808069119372608,201808069119372608,"06-AUG-18                                                                                                                                               "
"7","C30002794","BE CHANGE NOW","PO BOX 1195","HONOLULU","HI",96807,"N","31-JUL-18","04-AUG-18","04-AUG-18",0,54561,201808069119369088,201808069119369088,"06-AUG-18                                                                                                                                                               "
"8","C30002836","COMMUNICATIONS WORKERS OF AMERICA","501 THIRD STREET NW","WASHINGTON","DC",20001,"N","02-AUG-18","09-AUG-18","02-AUG-18",NA,12000,201808020300226208,201808020300226208,"02-AUG-18                                                                                                                                  "
"9","C30002810","FLORIDIANS FOR A FAIR SHAKE A PROJECT OF SIXTEEN THIRTY FUND","1201 CONNECTICUT AVE NW","WASHINGTON","DC",20036,"N","31-JUL-18","28-AUG-18","31-JUL-18",0,286113,201808019119339968,201808019119339968,"01-AUG-18                                                                                                 "
"10","C30002794","BE CHANGE NOW","PO BOX 1195","HONOLULU","HI",96807,"N","23-JUL-18","28-JUL-18","28-JUL-18",0,27596,201807299119329024,201807299119329024,"29-JUL-18                                                                                                                                                               "
"11","C30002802","MAJORITY FORWARD","700 13TH STREET NW SUITE 600","WASHINGTON","DC",20005,"N","26-JUL-18","28-JUL-18","26-JUL-18",0,2754571,201807309119329152,201807309119329152,"27-JUL-18                                                                                                                                       "
"12","C30002794","BE CHANGE NOW","PO BOX 1195","HONOLULU","HI",96807,"N","09-JUL-18","23-JUL-18","23-JUL-18",0,49196,201807259119315488,201807259119315488,"24-JUL-18                                                                                                                                                               "
"13","C30002430","AMERICAN CHEMISTRY COUNCIL INC","700 2ND STREET NE","WASHINGTON","DC",20002,"A","30-JUN-18","30-JUN-18","30-JUN-18",0,133535,201807029115209024,201807029115209024,"02-JUL-18                                                                                                                                     "
"14","C30002430","AMERICAN CHEMISTRY COUNCIL INC","700 2ND STREET NE","WASHINGTON","DC",20002,"N","30-JUN-18","30-JUN-18","30-JUN-18",0,133535,201806299115200320,201806299115200320,"29-JUN-18                                                                                                                                     "
"15","C30002430","AMERICAN CHEMISTRY COUNCIL INC","700 2ND STREET NE","WASHINGTON","DC",20002,"N","06-JUN-18","06-JUN-18","06-JUN-18",0,764986,201806299115200480,201806299115200480,"29-JUN-18                                                                                                                                     "
