"","BEGIN_IMAGE_NUM","CMTE_NM","CMTE_ID","RECEIPT_DT","lobbyist_registrant_pac"
"1",201604129012294240,"150PAC.ORG","C00614552","12-APR-16",""
"2",201801319091117056,"150PAC.ORG","C00614552","31-JAN-18","Y"
"3",201703279051892576,"21ST CENTURY ONCOLOGY INC. POLITICAL ACTION COMMITTEE","C00385120","27-MAR-17","Y"
"4",201703079050756864,"21ST CENTURY ONCOLOGY INC. POLITICAL ACTION COMMITTEE","C00385120","07-MAR-17","Y"
"5",201703249051888832,"21ST CENTURY ONCOLOGY INC. POLITICAL ACTION COMMITTEE","C00385120","24-MAR-17","Y"
"6",29991868417,"21ST CENTURY ONCOLOGY INC. POLITICAL ACTION COMMITTEE","C00385120","27-MAR-09","Y"
"7",201610189033039040,"21ST CENTURY ONCOLOGY INC. POLITICAL ACTION COMMITTEE","C00385120","18-OCT-16","Y"
"8",14960048123,"21ST CENTURY ONCOLOGY INC. POLITICAL ACTION COMMITTEE","C00385120","23-JAN-14","Y"
"9",29933399828,"21ST CENTURY ONCOLOGY INC. POLITICAL ACTION COMMITTEE","C00385120","27-MAR-09","Y"
"10",201702169049707712,"21ST CENTURY ONCOLOGY INC. POLITICAL ACTION COMMITTEE","C00385120","16-FEB-17","Y"
"11",201606109017557600,"340B HEALTH POLITICAL ACTION COMMITTEE (340B HEALTH PAC)","C00619601","10-JUN-16","Y"
"12",29991791429,"3M COMPANY PAC","C00084475","25-MAR-09","Y"
"13",201703109050763104,"3M COMPANY PAC","C00084475","10-MAR-17","Y"
"14",29991790701,"3M COMPANY PAC","C00084475","25-MAR-09","Y"
"15",29933598967,"AAI CORPORATION POLITICAL ACTION COMMITTEE","C00169508","27-APR-09","Y"
"16",10991168448,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","17-SEP-10","Y"
"17",201605179015512096,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","17-MAY-16","Y"
"18",12940821163,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","05-DEC-12","Y"
"19",13960010625,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","02-JAN-13","Y"
"20",14952593476,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","18-NOV-14","Y"
"21",201603189009813056,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","18-MAR-16","Y"
"22",201605169015503552,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","16-MAY-16","Y"
"23",29992572860,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","11-AUG-09","Y"
"24",29992213579,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","08-JUN-09","Y"
"25",29991779248,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","20-MAR-09","Y"
"26",29991757534,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","16-MAR-09","Y"
"27",10990348484,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","02-MAR-10","Y"
"28",201806079113652000,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","07-JUN-18","Y"
"29",201712199089260800,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","19-DEC-17","Y"
"30",201710069075581184,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","06-OCT-17","Y"
"31",11930682552,"ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE","C00040279","15-APR-11","Y"
"32",29933395841,"ABBOTT MEDICAL OPTICS INC. POLITICAL ACTION COMMITTEE","C00379719","24-MAR-09","Y"
"33",13940010047,"ABBVIE POLITICAL ACTION COMMITTEE","C00536573","02-JAN-13","Y"
"34",13940966806,"ABBVIE POLITICAL ACTION COMMITTEE","C00536573","08-JUL-13","Y"
"35",14951877376,"ABBVIE POLITICAL ACTION COMMITTEE","C00536573","21-OCT-14","Y"
"36",201602259009621856,"ABBVIE POLITICAL ACTION COMMITTEE","C00536573","25-FEB-16","Y"
"37",201701119041366272,"ABBVIE POLITICAL ACTION COMMITTEE","C00536573","11-JAN-17","Y"
"38",201711099086618560,"ABBVIE POLITICAL ACTION COMMITTEE","C00536573","09-NOV-17","Y"
"39",12030953908,"ABBVIE POLITICAL ACTION COMMITTEE","C00536573","19-NOV-12","Y"
